id;tcg_id;set_code;number;name;rarity;super_type;types;image_url;legalities
1;woot storyboard;supposing if pull;while tennis;whether chunter;astride aggressive;near;whenever;larva cavernous but;yet charming wherever
2;kindly whose mysterious;drat immediate markup;imaginative woot nasalise;though among furthermore;please;quick-witted since versus;wherever;claw whose fairly;until heighten unwieldy
3;hierarchy rekindle;about fortunate;aside;phooey league oof;mythology;stuff for;psst rival about;following;incidentally
4;eek;muffled yahoo;wholly incidentally;motivate;soulful;robust;unethically rough;drat repossess perfectly;dally
5;ugh till failing;beyond publication opposite;whether since;snarling necklace;dislocate;when;bah apostrophize doubtfully;golden rudely hmph;ouch long successfully
6;phew phew in;trench hm mispronounce;pushy which;behind;respray clamor;afore happily gym;valiantly classic gleefully;functional waist;under
7;which outside;apud;inside capitalise sand;alongside misfire;around kindheartedly;than haversack;daily furthermore;inexperienced;zowie status
8;whenever;consequently boohoo;naturally till into;even pointed;till cheetah versus;whoa;since;meager ack after;before anenst
9;besides;left;shyly;zowie misread promptly;resolve eek;rim wherever smog;rawhide anxiously;folklore;whenever
10;along;an;for over;aha nectarine;gladly;hutch across;armoire;deeply easily noted;informal
